,,,"5350011.00 [Census tract], Ontario",,,,,,"Toronto [Census metropolitan area], Ontario",,,,,
Location of study compared with province or territory of residence with countries outside Canada,      France,,105,,60,,40,,5615,,3030,,2590,
Location of study compared with province or territory of residence with countries outside Canada,      Other,,1095,,535,,560,,347945,,166390,,181555,
Labour force status,Total - Population aged 15 years and over by Labour force status - 25% sample data,163,16940,,8720,,8220,,4879095,,2345190,,2533900,
Labour force status,  In the labour force,,14980,,7895,,7085,,3234350,,1670030,,1564315,
Labour force status,    Employed,,14345,,7630,,6720,,2984990,,1546745,,1438250,
Labour force status,    Unemployed,,635,,265,,370,,249360,,123290,,126070,
Labour force status,  Not in the labour force,,1955,,825,,1130,,1644740,,675160,,969585,
Labour force status,Participation rate,,88.4,,90.5,,86.2,,66.3,,71.2,,61.7,
Labour force status,Employment rate,,84.7,,87.5,,81.8,,61.2,,66,,56.8,
Labour force status,Unemployment rate,,4.2,,3.4,,5.2,,7.7,,7.4,,8.1,
Work activity during the reference year,Total population aged 15 years and over by work activity during the reference year - 25% sample data,164,16935,,8720,,8215,,4879095,,2345190,,2533905,
Work activity during the reference year,  Did not work,165,1905,,855,,1050,,1592740,,654475,,938270,
Work activity during the reference year,  Worked,,15035,,7860,,7175,,3286350,,1690715,,1595635,
Work activity during the reference year,    Worked full year; full time,166,9730,,5295,,4435,,1694705,,941950,,752765,
Work activity during the reference year,    Worked part year and/or part time,167,5305,,2570,,2740,,1591645,,748775,,842875,
Work activity during the reference year,Average weeks worked in reference year,,45.5,,46.1,,44.9,,42.6,,43.3,,41.9,
Class of worker,Total labour force aged 15 years and over by class of worker - 25% sample data,168,14985,,7895,,7085,,3234350,,1670035,,1564320,
Class of worker,  Class of worker - not applicable,169,170,,45,,120,,90210,,41705,,48505,
Class of worker,  All classes of workers,170,14815,,7845,,6970,,3144140,,1628325,,1515815,
Class of worker,    Employee,,13200,,6885,,6315,,2744970,,1368035,,1376935,
Class of worker,    Self-employed,171,1615,,965,,655,,399170,,260290,,138885,
Occupation - National Occupational Classification (NOC) 2016,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,172,14985,,7895,,7085,,3234355,,1670030,,1564320,
Occupation - National Occupational Classification (NOC) 2016,  Occupation - not applicable,169,165,,50,,115,,90215,,41710,,48505,
Occupation - National Occupational Classification (NOC) 2016,  All occupations,170,14815,,7850,,6970,,3144140,,1628325,,1515815,
Occupation - National Occupational Classification (NOC) 2016,    0 Management occupations,,2920,,1690,,1235,,376890,,228640,,148255,
Occupation - National Occupational Classification (NOC) 2016,    1 Business; finance and administration occupations,,4130,,1925,,2210,,576955,,203575,,373375,
Occupation - National Occupational Classification (NOC) 2016,    2 Natural and applied sciences and related occupations,,1720,,1270,,450,,269965,,206395,,63570,
Occupation - National Occupational Classification (NOC) 2016,    3 Health occupations,,670,,230,,440,,173475,,41565,,131915,
Occupation - National Occupational Classification (NOC) 2016,    4 Occupations in education; law and social; community and government services,,1845,,825,,1025,,357990,,109080,,248905,
Occupation - National Occupational Classification (NOC) 2016,    5 Occupations in art; culture; recreation and sport,,1150,,595,,560,,127395,,62535,,64855,
Occupation - National Occupational Classification (NOC) 2016,    6 Sales and service occupations,,2150,,1115,,1040,,735270,,338725,,396550,
Occupation - National Occupational Classification (NOC) 2016,    7 Trades; transport and equipment operators and related occupations,,180,,170,,15,,351740,,327065,,24675,
Occupation - National Occupational Classification (NOC) 2016,    8 Natural resources; agriculture and related production occupations,,15,,15,,0,,24245,,19360,,4885,
Occupation - National Occupational Classification (NOC) 2016,    9 Occupations in manufacturing and utilities,,30,,25,,0,,150215,,91390,,58825,
Industry - North American Industry Classification System (NAICS) 2012,Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,173,14980,,7890,,7090,,3234350,,1670035,,1564315,
Industry - North American Industry Classification System (NAICS) 2012,  Industry - NAICS2012 - not applicable,169,165,,50,,120,,90210,,41710,,48505,
Industry - North American Industry Classification System (NAICS) 2012,  All industry categories,170,14815,,7845,,6970,,3144140,,1628320,,1515815,
Industry - North American Industry Classification System (NAICS) 2012,    11 Agriculture; forestry; fishing and hunting,,0,,0,,0,,9410,,5515,,3890,
Industry - North American Industry Classification System (NAICS) 2012,    21 Mining; quarrying; and oil and gas extraction,,45,,20,,35,,4500,,3110,,1395,
Industry - North American Industry Classification System (NAICS) 2012,    22 Utilities,,65,,35,,25,,15860,,10905,,4955,
Industry - North American Industry Classification System (NAICS) 2012,    23 Construction,,285,,240,,45,,191430,,166670,,24750,
Industry - North American Industry Classification System (NAICS) 2012,    31-33 Manufacturing,,335,,195,,140,,285825,,188490,,97335,
Industry - North American Industry Classification System (NAICS) 2012,    41 Wholesale trade,,370,,190,,180,,143725,,88880,,54845,
Industry - North American Industry Classification System (NAICS) 2012,    44-45 Retail trade,,770,,360,,410,,338675,,161855,,176820,
Industry - North American Industry Classification System (NAICS) 2012,    48-49 Transportation and warehousing,,205,,120,,85,,168165,,123115,,45050,
Industry - North American Industry Classification System (NAICS) 2012,    51 Information and cultural industries,,1090,,615,,475,,106940,,61970,,44970,
Industry - North American Industry Classification System (NAICS) 2012,    52 Finance and insurance,,2955,,1635,,1320,,247475,,118710,,128760,
Industry - North American Industry Classification System (NAICS) 2012,    53 Real estate and rental and leasing,,545,,340,,200,,82665,,44590,,38075,
Industry - North American Industry Classification System (NAICS) 2012,    54 Professional; scientific and technical services,,4125,,2315,,1805,,339305,,191155,,148150,
Industry - North American Industry Classification System (NAICS) 2012,    55 Management of companies and enterprises,,75,,35,,40,,8680,,3615,,5065,
Industry - North American Industry Classification System (NAICS) 2012,    56 Administrative and support; waste management and remediation services,,405,,210,,190,,162185,,89190,,72995,
Industry - North American Industry Classification System (NAICS) 2012,    61 Educational services,,730,,295,,435,,229025,,70820,,158200,
Industry - North American Industry Classification System (NAICS) 2012,    62 Health care and social assistance,,895,,295,,605,,287975,,58110,,229865,
Industry - North American Industry Classification System (NAICS) 2012,    71 Arts; entertainment and recreation,,375,,205,,170,,63745,,33560,,30185,
Industry - North American Industry Classification System (NAICS) 2012,    72 Accommodation and food services,,800,,435,,360,,204315,,93560,,110760,
Industry - North American Industry Classification System (NAICS) 2012,    81 Other services (except public administration),,325,,95,,225,,134570,,56235,,78335,
Industry - North American Industry Classification System (NAICS) 2012,    91 Public administration,,425,,200,,225,,119675,,58255,,61415,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,174,14350,,7630,,6720,,2984990,,1546745,,1438245,
Place of work status,  Worked at home,,1190,,695,,495,,218365,,111020,,107345,
Place of work status,  Worked outside Canada,,190,,100,,85,,19580,,13225,,6350,
Place of work status,  No fixed workplace address,,845,,580,,265,,346205,,246815,,99395,
Place of work status,  Worked at usual place,,12130,,6260,,5870,,2400845,,1175685,,1225160,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,,12125,,6255,,5870,,2400850,,1175685,,1225160,
Commuting destination,  Commute within census subdivision (CSD) of residence,,11075,,5595,,5480,,1353665,,614770,,738890,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,0,,0,,0,,243620,,119725,,123890,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,995,,625,,375,,798155,,437940,,360215,
Commuting destination,  Commute to a different province or territory,,50,,40,,10,,5410,,3250,,2160,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,175,12975,,6835,,6135,,2747050,,1422500,,1324550,
Main mode of commuting,  Car; truck; van - as a driver,,2305,,1465,,840,,1714795,,982905,,731890,
Main mode of commuting,  Car; truck; van - as a passenger,,165,,65,,100,,154360,,56295,,98065,
Main mode of commuting,  Public transit,,2695,,1220,,1475,,667255,,281110,,386145,
Main mode of commuting,  Walked,,7180,,3705,,3475,,144135,,64380,,79750,
Main mode of commuting,  Bicycle,,450,,300,,155,,39320,,24920,,14395,
Main mode of commuting,  Other method,,180,,90,,95,,27190,,12890,,14300,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,176,12970,,6835,,6140,,2747050,,1422500,,1324550,
Commuting duration,  Less than 15 minutes,,3560,,2035,,1520,,391400,,177910,,213490,
Commuting duration,  15 to 29 minutes,,5595,,2825,,2775,,783980,,398445,,385535,
Commuting duration,  30 to 44 minutes,,2210,,1115,,1095,,726575,,394790,,331790,
Commuting duration,  45 to 59 minutes,,905,,470,,440,,372095,,198325,,173770,
Commuting duration,  60 minutes and over,,700,,400,,300,,473000,,253030,,219970,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,177,12975,,6840,,6135,,2747055,,1422500,,1324555,
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,130,,105,,25,,158945,,113980,,44970,
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,,710,,450,,260,,416640,,250560,,166080,
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,,2540,,1385,,1155,,699920,,339560,,360360,
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,,5940,,2905,,3035,,649740,,299940,,349800,
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,,2645,,1520,,1125,,404420,,192285,,212135,
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,,1005,,470,,540,,417380,,226175,,191205,
Language used most often at work,Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,178,15425,,8070,,7355,,3404195,,1747775,,1656415,
Language used most often at work,  Single responses,,15235,,7980,,7255,,3323390,,1708945,,1614450,
Language used most often at work,    Official languages,,15130,,7945,,7190,,3230665,,1659815,,1570850,
Language used most often at work,      English,,15075,,7920,,7150,,3218730,,1656605,,1562120,
Language used most often at work,      French,,60,,20,,35,,11940,,3210,,8725,
Language used most often at work,    Non-official languages,,105,,40,,65,,92725,,49125,,43600,
Language used most often at work,      Aboriginal languages,,0,,0,,0,,10,,0,,10,
Language used most often at work,        Algonquian languages,,0,,0,,0,,0,,0,,10,
Language used most often at work,          Blackfoot,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Cree-Montagnais languages,,0,,0,,0,,0,,0,,10,
Language used most often at work,            Atikamekw,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Montagnais (Innu),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Moose Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Naskapi,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Northern East Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Plains Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Southern East Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Swampy Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Woods Cree,,0,,0,,0,,10,,0,,0,
Language used most often at work,            Cree; n.o.s.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Eastern Algonquian languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Malecite,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Mi'kmaq,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ojibway-Potawatomi languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Algonquin,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Ojibway,,0,,0,,0,,0,,0,,10,
Language used most often at work,            Oji-Cree,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Ottawa (Odawa),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Algonquian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Athabaskan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Northern Athabaskan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Babine (Wetsuwet'en),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Beaver,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Carrier,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Chilcotin,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Dene,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Dogrib (Tlicho),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Gwich'in,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Sarsi (Sarcee),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Sekani,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Slavey-Hare languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              North Slavey (Hare),,0,,0,,0,,0,,0,,0,
Language used most often at work,              South Slavey,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Slavey; n.o.s.,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tahltan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Language used most often at work,              Tahltan,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tutchone languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Northern Tutchone,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Southern Tutchone,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Athabaskan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Haida,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Inuit languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Inuktitut,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Inuit languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Iroquoian languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Cayuga,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Mohawk,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Oneida,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Iroquoian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Kutenai,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Michif,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Salish languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Comox,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Halkomelem,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Lillooet,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Okanagan,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Shuswap (Secwepemctsin),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Squamish,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Straits,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Salish languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Siouan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Dakota,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Stoney,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Siouan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Tlingit,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Tsimshian languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Gitxsan (Gitksan),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Nisga'a,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Tsimshian,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Wakashan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Haisla,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Heiltsuk,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Kwakiutl (Kwak'wala),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Aboriginal languages; n.o.s.,,0,,0,,0,,0,,0,,0,
Language used most often at work,      Non-Aboriginal languages,,105,,40,,65,,92715,,49125,,43590,
Language used most often at work,        Afro-Asiatic languages,,0,,0,,0,,1865,,1065,,805,
Language used most often at work,          Berber languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Kabyle,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Berber languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Cushitic languages,,0,,0,,0,,100,,45,,60,
Language used most often at work,            Bilen,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Oromo,,0,,0,,0,,15,,10,,0,
Language used most often at work,            Somali,,0,,0,,0,,85,,30,,55,
Language used most often at work,            Cushitic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Semitic languages,,0,,0,,0,,1755,,1020,,735,
Language used most often at work,            Amharic,,0,,0,,0,,55,,20,,35,
Language used most often at work,            Arabic,,0,,0,,0,,1165,,760,,405,
Language used most often at work,            Assyrian Neo-Aramaic,,0,,0,,0,,110,,75,,30,
Language used most often at work,            Chaldean Neo-Aramaic,,0,,0,,0,,0,,10,,0,
Language used most often at work,            Harari,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Hebrew,,0,,0,,0,,360,,115,,245,
Language used most often at work,            Maltese,,0,,0,,0,,25,,15,,0,
Language used most often at work,            Tigrigna,,0,,0,,0,,45,,25,,20,
Language used most often at work,            Semitic languages; n.i.e.,,0,,0,,0,,0,,10,,0,
Language used most often at work,          Afro-Asiatic languages; n.i.e.,,0,,0,,0,,0,,0,,10,
Language used most often at work,        Austro-Asiatic languages,,0,,0,,0,,1780,,740,,1045,
Language used most often at work,          Khmer (Cambodian),,0,,0,,0,,45,,30,,25,
Language used most often at work,          Vietnamese,,0,,0,,0,,1735,,715,,1025,
Language used most often at work,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Austronesian languages,,0,,0,,0,,1105,,415,,690,
Language used most often at work,          Bikol,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Cebuano,,0,,0,,0,,20,,10,,15,
Language used most often at work,          Fijian,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Hiligaynon,,0,,0,,0,,15,,0,,10,
Language used most often at work,          Ilocano,,0,,0,,0,,35,,15,,20,
Language used most often at work,          Malagasy,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Malay,,0,,0,,0,,40,,15,,20,
Language used most often at work,          Pampangan (Kapampangan; Pampango),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Pangasinan,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Tagalog (Pilipino; Filipino),,0,,0,,0,,990,,370,,615,
Language used most often at work,          Waray-Waray,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Austronesian languages; n.i.e.,,0,,0,,0,,0,,0,,10,
Language used most often at work,        Creole languages,,0,,0,,0,,25,,20,,10,
Language used most often at work,          Haitian Creole,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Creole; n.o.s.,,0,,0,,0,,20,,15,,10,
Language used most often at work,          Creole languages; n.i.e.,,0,,0,,0,,10,,0,,0,
Language used most often at work,        Dravidian languages,,0,,0,,0,,1910,,905,,1000,
Language used most often at work,          Kannada,,0,,0,,0,,10,,0,,0,
Language used most often at work,          Malayalam,,0,,0,,0,,55,,30,,30,
Language used most often at work,          Tamil,,0,,0,,0,,1815,,870,,945,
Language used most often at work,          Telugu,,0,,0,,0,,35,,0,,25,
Language used most often at work,          Dravidian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Hmong-Mien languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Indo-European languages,,60,,20,,40,,27005,,14870,,12135,
Language used most often at work,          Albanian,,0,,0,,0,,210,,125,,85,
Language used most often at work,          Armenian,,0,,0,,0,,140,,65,,70,
Language used most often at work,          Balto-Slavic languages,,0,,0,,0,,5315,,2575,,2745,
Language used most often at work,            Baltic languages,,0,,0,,0,,55,,20,,30,
Language used most often at work,              Latvian,,0,,0,,0,,10,,10,,10,
Language used most often at work,              Lithuanian,,0,,0,,0,,45,,15,,30,
Language used most often at work,            Slavic languages,,0,,0,,0,,5260,,2550,,2710,
Language used most often at work,              Belarusan,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Bosnian,,0,,0,,0,,45,,30,,10,
Language used most often at work,              Bulgarian,,0,,0,,0,,115,,75,,40,
Language used most often at work,              Croatian,,0,,0,,0,,95,,55,,35,
Language used most often at work,              Czech,,0,,0,,0,,15,,10,,10,
Language used most often at work,              Macedonian,,0,,0,,0,,80,,35,,40,
Language used most often at work,              Polish,,0,,0,,0,,1490,,800,,690,
Language used most often at work,              Russian,,0,,0,,0,,2515,,1095,,1415,
Language used most often at work,              Serbian,,0,,0,,0,,160,,110,,55,
Language used most often at work,              Serbo-Croatian,,0,,0,,0,,20,,10,,0,
Language used most often at work,              Slovak,,0,,0,,0,,45,,30,,15,
Language used most often at work,              Slovene (Slovenian),,0,,0,,0,,10,,0,,10,
Language used most often at work,              Ukrainian,,0,,0,,0,,680,,290,,390,
Language used most often at work,              Slavic languages; n.i.e.,,0,,0,,0,,10,,0,,0,
Language used most often at work,          Celtic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Scottish Gaelic,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Welsh,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Celtic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Germanic languages,,0,,0,,0,,380,,145,,230,
Language used most often at work,            Afrikaans,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Danish,,0,,0,,0,,20,,0,,10,
Language used most often at work,            Dutch,,0,,0,,0,,60,,40,,25,
Language used most often at work,            Frisian,,0,,0,,0,,0,,0,,0,
Language used most often at work,            German,,0,,0,,0,,240,,70,,165,
Language used most often at work,            Icelandic,,0,,0,,0,,10,,0,,0,
Language used most often at work,            Norwegian,,0,,0,,0,,10,,10,,0,
Language used most often at work,            Swedish,,0,,0,,0,,20,,10,,15,
Language used most often at work,            Vlaams (Flemish),,0,,0,,0,,10,,10,,0,
Language used most often at work,            Yiddish,,0,,0,,0,,20,,10,,10,
Language used most often at work,            Germanic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Greek,,0,,0,,0,,340,,190,,155,
Language used most often at work,          Indo-Iranian languages,,15,,0,,15,,10855,,6035,,4815,
Language used most often at work,            Indo-Aryan languages,,10,,0,,0,,8405,,4500,,3905,
Language used most often at work,              Bengali,,0,,0,,10,,300,,145,,155,
Language used most often at work,              Gujarati,,0,,0,,0,,615,,210,,405,
Language used most often at work,              Hindi,,0,,0,,0,,740,,355,,385,
Language used most often at work,              Kashmiri,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Konkani,,0,,0,,0,,0,,10,,0,
Language used most often at work,              Marathi,,0,,0,,0,,30,,10,,15,
Language used most often at work,              Nepali,,0,,0,,0,,60,,20,,35,
Language used most often at work,              Oriya (Odia),,0,,0,,0,,0,,0,,0,
Language used most often at work,              Punjabi (Panjabi),,0,,0,,0,,5635,,3250,,2385,
Language used most often at work,              Sindhi,,0,,0,,0,,20,,10,,15,
Language used most often at work,              Sinhala (Sinhalese),,0,,0,,0,,20,,15,,10,
Language used most often at work,              Urdu,,0,,0,,0,,985,,480,,505,
Language used most often at work,            Iranian languages,,15,,0,,10,,2445,,1535,,910,
Language used most often at work,              Kurdish,,0,,0,,0,,85,,75,,10,
Language used most often at work,              Pashto,,0,,0,,0,,10,,10,,10,
Language used most often at work,              Persian (Farsi),,15,,0,,10,,2350,,1460,,890,
Language used most often at work,            Indo-Iranian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Italic (Romance) languages,,50,,15,,30,,9760,,5730,,4030,
Language used most often at work,            Catalan,,10,,0,,10,,10,,0,,0,
Language used most often at work,            Italian,,0,,0,,0,,775,,415,,355,
Language used most often at work,            Portuguese,,0,,0,,10,,5070,,3365,,1705,
Language used most often at work,            Romanian,,0,,0,,0,,245,,105,,140,
Language used most often at work,            Spanish,,40,,10,,25,,3660,,1840,,1820,
Language used most often at work,            Italic (Romance) languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Japanese,,0,,0,,0,,775,,250,,520,
Language used most often at work,        Kartvelian languages,,0,,0,,0,,10,,10,,10,
Language used most often at work,          Georgian,,0,,0,,0,,10,,10,,10,
Language used most often at work,        Korean,,0,,0,,0,,4265,,2155,,2105,
Language used most often at work,        Mongolic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Mongolian,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Niger-Congo languages,,0,,0,,0,,70,,35,,35,
Language used most often at work,          Akan (Twi),,0,,0,,0,,15,,0,,15,
Language used most often at work,          Bamanankan,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Edo,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ewe,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ga,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ganda,,0,,0,,0,,20,,15,,10,
Language used most often at work,          Igbo,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Lingala,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Rundi (Kirundi),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Kinyarwanda (Rwanda),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Shona,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Swahili,,0,,0,,0,,0,,10,,0,
Language used most often at work,          Wolof,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Yoruba,,0,,0,,0,,0,,0,,10,
Language used most often at work,          Niger-Congo languages; n.i.e.,,0,,0,,0,,15,,10,,0,
Language used most often at work,        Nilo-Saharan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Dinka,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Nilo-Saharan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Sign languages,,0,,0,,0,,350,,140,,210,
Language used most often at work,          American Sign Language,,0,,0,,0,,245,,80,,170,
Language used most often at work,          Quebec Sign Language,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Sign languages; n.i.e,,0,,0,,0,,110,,65,,45,
Language used most often at work,        Sino-Tibetan languages,,35,,10,,25,,52745,,28050,,24695,
Language used most often at work,          Chinese languages,,35,,15,,20,,52700,,28020,,24675,
Language used most often at work,            Cantonese,,20,,10,,10,,25335,,13205,,12130,
Language used most often at work,            Hakka,,0,,0,,0,,35,,10,,25,
Language used most often at work,            Mandarin,,15,,0,,15,,26135,,14210,,11930,
Language used most often at work,            Min Dong,,0,,0,,0,,25,,15,,10,
Language used most often at work,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,0,,0,,0,,220,,145,,75,
Language used most often at work,            Wu (Shanghainese),,0,,0,,0,,30,,20,,10,
Language used most often at work,            Chinese; n.o.s.,,0,,0,,0,,910,,420,,490,
Language used most often at work,            Chinese languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Tibeto-Burman languages,,0,,0,,0,,50,,30,,20,
Language used most often at work,            Burmese,,0,,0,,0,,10,,0,,0,
Language used most often at work,            Karenic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tibetan,,0,,0,,0,,40,,25,,15,
Language used most often at work,            Tibeto-Burman languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Tai-Kadai languages,,0,,0,,0,,70,,30,,40,
